workload,ops,goroutines,depth,blockprofilerate,run,ms
mutex,100000,12,16,0,1,42.438360
mutex,100000,12,16,0,2,56.538516
mutex,100000,12,16,0,3,52.666698
mutex,100000,12,16,0,4,50.588831
mutex,100000,12,16,0,5,42.993016
mutex,100000,12,16,0,6,47.262495
mutex,100000,12,16,0,7,42.614335
mutex,100000,12,16,0,8,50.589187
mutex,100000,12,16,0,9,53.232434
mutex,100000,12,16,0,10,64.352130
mutex,100000,12,16,0,11,52.387284
mutex,100000,12,16,0,12,65.223335
mutex,100000,12,16,0,13,50.572637
mutex,100000,12,16,0,14,49.732913
mutex,100000,12,16,0,15,46.789851
mutex,100000,12,16,0,16,42.016991
mutex,100000,12,16,0,17,50.339128
mutex,100000,12,16,0,18,52.286547
mutex,100000,12,16,0,19,50.750858
mutex,100000,12,16,0,20,62.743093
mutex,100000,12,16,1,1,43.440872
mutex,100000,12,16,1,2,49.936582
mutex,100000,12,16,1,3,50.284105
mutex,100000,12,16,1,4,58.646662
mutex,100000,12,16,1,5,63.336982
mutex,100000,12,16,1,6,63.688515
mutex,100000,12,16,1,7,63.627604
mutex,100000,12,16,1,8,39.704634
mutex,100000,12,16,1,9,43.121722
mutex,100000,12,16,1,10,46.115743
mutex,100000,12,16,1,11,50.286809
mutex,100000,12,16,1,12,47.840831
mutex,100000,12,16,1,13,62.910580
mutex,100000,12,16,1,14,51.057369
mutex,100000,12,16,1,15,54.046803
mutex,100000,12,16,1,16,48.035078
